x,y,z
-470.567779541,115.79826355,442.789367676
-470.346252441,114.948066711,443.266967773
-470.12588501,114.087417603,443.726013184
-469.905944824,113.218788147,444.16998291
-469.685577393,112.3412323,444.595825195
-469.465270996,111.453353882,444.999725342
-469.246948242,110.557197571,445.386047363
-469.03012085,109.651397705,445.750061035
-468.815826416,108.738372803,446.097137451
-468.604370117,107.818717957,446.428070068
-468.394287109,106.892608643,446.741424561
-468.179992676,105.960418701,447.03314209
-467.967437744,105.023216248,447.309692383
-467.752593994,104.080612183,447.565338135
-467.5390625,103.133049011,447.803100586
-467.329284668,102.180236816,448.022521973
-467.121185303,101.222740173,448.222259521
-466.913299561,100.261360168,448.402618408
-466.709136963,99.295921326,448.56463623
-466.508789063,98.326499939,448.706359863
-466.306671143,97.354423523,448.825622559
-466.10256958,96.380439758,448.924163818
-465.897674561,95.404762268,449.002075195
-465.695007324,94.427207947,449.059631348
-465.496307373,93.448120117,449.10333252
-465.300811768,92.467720032,449.127716064
-465.108764648,91.486351013,449.133392334
-464.918212891,90.504730225,449.122955322
-464.728942871,89.523178101,449.095916748
-464.541656494,88.541877747,449.051452637
-464.356536865,87.561256409,448.98727417
-464.174804688,86.581794739,448.899963379
-463.993438721,85.604179382,448.793273926
-463.811126709,84.629005432,448.667572021
-463.627838135,83.657142639,448.519622803
-463.44631958,82.68787384,448.35357666
-463.265533447,81.722259521,448.166748047
-463.085357666,80.760498047,447.960449219
-462.905487061,79.802742004,447.736053467
-462.728179932,78.848548889,447.495056152
-462.551605225,77.898422241,447.238006592
-462.380828857,76.952011108,446.963897705
-462.211273193,76.011550903,446.669281006
-462.041107178,75.07723999,446.356048584
-461.87008667,74.150131226,446.02255249
-461.698944092,73.229408264,445.671844482
-461.529876709,72.314910889,445.304260254
-461.361541748,71.407157898,444.920013428
-461.19644165,70.505485535,444.520355225
-461.033996582,69.611442566,444.102874756
-460.873504639,68.725494385,443.667755127
-460.715026855,67.847686768,443.215698242
-460.559295654,66.977989197,442.747314453
-460.407409668,66.116287231,442.263153076
-460.262207031,65.263320923,441.761779785
-460.122802734,64.41709137,441.247528076
-459.985137939,63.580718994,440.716918945
-459.842071533,62.755275726,440.17086792
-459.697998047,61.943347931,439.605163574
-459.560272217,61.143493652,439.020996094
-459.428375244,60.354640961,438.42074585
-459.299285889,59.577415466,437.804901123
-459.171173096,58.811065674,437.175384521
-459.041992188,58.058227539,436.529968262
-458.912994385,57.319950104,435.867919922
-458.786529541,56.593818665,435.192108154
-458.661071777,55.879650116,434.503479004
-458.534057617,55.17616272,433.804199219
-458.407867432,54.484169006,433.093414307
-458.280395508,53.806301117,432.369354248
-458.158294678,53.136169434,431.637237549
-458.04196167,52.481586456,430.890258789
-457.937164307,51.827575684,430.141052246
-457.819702148,51.200248718,429.37121582
-457.705474854,50.587688446,428.589080811
-457.5987854,49.992195129,427.79284668
-457.495025635,49.411643982,426.98526001
-457.389160156,48.851131439,426.163909912
-457.280700684,48.30828476,425.331115723
-457.172088623,47.780200958,424.488891602
-457.06362915,47.26448822,423.639038086
-456.956573486,46.75920105,422.782745361
-456.850921631,46.268726349,421.917724609
-456.751647949,45.790565491,421.045074463
-456.65914917,45.329441071,420.162567139
-456.571960449,44.89667511,419.265289307
-456.484863281,44.488243103,418.356658936
-456.398590088,44.099311829,417.439453125
-456.303497314,43.727325439,416.516113281
-456.206695557,43.37040329,415.587005615
-456.114227295,43.021324158,414.65447998
-456.020935059,42.692905426,413.714569092
-455.936187744,42.389785767,412.765380859
-455.856567383,42.108516693,411.809051514
-455.785614014,41.856479645,410.843933105
-455.708709717,41.615013123,409.876586914
-455.625396729,41.380462646,408.908050537
-455.538513184,41.160865784,407.936340332
-455.450012207,40.956512451,406.961456299
-455.370544434,40.776103973,405.981079102
-455.301818848,40.624267578,404.995056152
-455.239074707,40.500049591,404.00479126
-455.174163818,40.398002625,403.012145996
-455.110198975,40.302688599,402.018768311
-455.032226563,40.219802856,401.025268555
-454.947479248,40.150356293,400.031280518
-454.856262207,40.102386475,399.036590576
-454.765014648,40.071159363,398.041259766
-454.685241699,40.056240082,397.044555664
-454.609741211,40.05915451,396.047424316
-454.535919189,40.079368591,395.050354004
-454.460754395,40.118648529,394.053955078
-454.390716553,40.174777985,393.057983398
-454.326568604,40.256427765,392.06338501
-454.2706604,40.363685608,391.070739746
-454.213562012,40.491912842,390.080627441
-454.154266357,40.638824463,389.093261719
-454.088195801,40.801181793,388.108734131
-454.020263672,40.983654022,387.127868652
-453.951446533,41.187728882,386.15133667
-453.882843018,41.418636322,385.180786133
-453.812133789,41.665435791,384.214294434
-453.744384766,41.924201965,383.250732422
-453.679077148,42.200706482,382.291931152
-453.613311768,42.497905731,381.339385986
-453.550506592,42.816371918,380.39352417
-453.489593506,43.152908325,379.453826904
-453.428497314,43.505947113,378.520202637
-453.366485596,43.873085022,377.592102051
-453.303192139,44.258644104,376.671600342
-453.239440918,44.664081573,375.75970459
-453.175750732,45.086818695,374.855682373
-453.111053467,45.522068024,373.957702637
-453.04284668,45.974140167,373.068328857
-452.972991943,46.444404602,372.188568115
-452.906188965,46.933353424,371.318817139
-452.842895508,47.442493439,370.460449219
-452.780517578,47.96975708,369.613037109
-452.72354126,48.510261536,368.773620605
-452.666290283,49.062736511,367.942047119
-452.60824585,49.624839783,367.117004395
-452.547393799,50.204689026,366.30456543
-452.481964111,50.800273895,365.503936768
-452.415771484,51.411571503,364.715301514
-452.349578857,52.039661407,363.939971924
-452.284637451,52.68151474,363.17590332
-452.22052002,53.337966919,362.424255371
-452.156036377,54.008975983,361.68560791
-452.090576172,54.695240021,360.961212158
-452.024749756,55.394554138,360.249450684
-451.955352783,56.106555939,359.550720215
-451.883605957,56.831508636,358.865661621
-451.811035156,57.570037842,358.195373535
-451.734344482,58.320549011,357.538970947
-451.660186768,59.081581116,356.894500732
-451.58706665,59.855499268,356.265441895
-451.516265869,60.643486023,355.653839111
-451.447143555,61.443786621,355.058227539
-451.376403809,62.252555847,354.474365234
-451.300140381,63.073890686,353.9090271
-451.221466064,63.904979706,353.35848999
-451.142303467,64.745056152,352.821838379
-451.062591553,65.595207214,352.301361084
-450.984344482,66.457427979,351.80090332
-450.90536499,67.328994751,351.317016602
-450.82510376,68.209465027,350.849761963
-450.742584229,69.098838806,350.400085449
-450.659332275,69.996559143,349.967468262
-450.5753479,70.901748657,349.550842285
-450.490264893,71.814559937,349.151428223
-450.403839111,72.73425293,348.768432617
-450.316253662,73.660820007,348.402648926
-450.226287842,74.594223022,348.055297852
-450.134307861,75.53477478,347.72833252
-450.042602539,76.481246948,347.418823242
-449.949798584,77.433769226,347.128845215
-449.855957031,78.391693115,346.85760498
-449.760864258,79.354248047,346.603759766
-449.666564941,80.321029663,346.36618042
-449.570648193,81.291915894,346.14666748
-449.472167969,82.266021729,345.943145752
-449.372283936,83.243469238,345.757080078
-449.2706604,84.223945618,345.588745117
-449.166412354,85.207466125,345.441009521
-449.062988281,86.193939209,345.313812256
-448.957122803,87.182525635,345.206665039
-448.846923828,88.172409058,345.117248535
-448.737640381,89.164024353,345.048248291
-448.624145508,90.156425476,345.000762939
-448.508880615,91.149360657,344.97253418
-448.393035889,92.142578125,344.962341309
-448.276672363,93.135765076,344.969024658
-448.156616211,94.128181458,344.995361328
-448.033294678,95.119468689,345.041717529
-447.911590576,96.110160828,345.102722168
-447.792663574,97.099914551,345.181732178
-447.670013428,98.087257385,345.282318115
-447.543395996,99.072158813,345.400360107
-447.416992188,100.054496765,345.538299561
-447.287017822,101.033615112,345.694641113
-447.157592773,102.010299683,345.865905762
-447.027282715,102.983161926,346.057098389
-446.896972656,103.952186584,346.266876221
-446.765045166,104.916244507,346.497497559
-446.628997803,105.874382019,346.749420166
-446.49005127,106.827209473,347.019256592
-446.346343994,107.773872375,347.307678223
-446.203094482,108.715812683,347.611358643
-446.059326172,109.652061462,347.931945801
-445.912261963,110.582061768,348.268798828
-445.762939453,111.505310059,348.622802734
-445.61541748,112.422409058,348.993164063
-445.467315674,113.330932617,349.383880615
-445.314819336,114.230270386,349.793670654
-445.156860352,115.119697571,350.222564697
-444.998321533,116.001449585,350.6668396
-444.838043213,116.874763489,351.126861572
-444.676025391,117.738098145,351.604766846
-444.512023926,118.591896057,352.098876953
-444.346343994,119.434379578,352.611480713
-444.178466797,120.267372131,353.138671875
-444.007537842,121.091705322,353.678344727
-443.83706665,121.906600952,354.232330322
-443.667266846,122.710533142,354.802307129
-443.497314453,123.50479126,355.385650635
-443.32522583,124.288642883,355.982269287
-443.150390625,125.058525085,356.596038818
-442.972564697,125.815414429,357.224914551
-442.796569824,126.558418274,357.870635986
-442.614746094,127.283996582,358.534301758
-442.433013916,127.999519348,359.208831787
-442.249694824,128.701782227,359.896728516
-442.062408447,129.393234253,360.594451904
-441.877166748,130.068618774,361.308258057
-441.687835693,130.729476929,362.034484863
-441.492828369,131.376464844,362.771636963
-441.297943115,132.008758545,363.521453857
-441.101837158,132.621124268,364.287322998
-440.901489258,133.216400146,365.065460205
-440.7003479,133.799880981,365.852294922
-440.501647949,134.369293213,366.649993896
-440.303497314,134.923187256,367.458648682
-440.105072021,135.463150024,368.276611328
-439.904052734,135.988037109,369.10369873
-439.702514648,136.499130249,369.93927002
-439.495239258,136.991119385,370.784851074
-439.283111572,137.463668823,371.640258789
-439.067382813,137.912002563,372.50769043
-438.853363037,138.348342896,373.381652832
-438.640960693,138.770706177,374.2628479
-438.429382324,139.177749634,375.151428223
-438.216156006,139.563552856,376.049041748
-438.000732422,139.926345825,376.955657959
-437.786560059,140.278274536,377.866851807
-437.570159912,140.621765137,378.780731201
-437.347564697,140.946868896,379.699829102
-437.124664307,141.254592896,380.624816895
-436.904174805,141.54649353,381.555511475
-436.682800293,141.815002441,382.493011475
-436.45690918,142.068588257,383.43359375
-436.230987549,142.299911499,384.379882813
-435.992767334,142.49937439,385.330383301
-435.745513916,142.666015625,386.284912109
-435.502258301,142.812072754,387.243804932
-435.273101807,142.954360962,388.206726074
-435.063171387,143.112167358,389.171630859
-434.870147705,143.261276245,390.141418457
-434.680267334,143.388412476,391.114959717
-434.480834961,143.490005493,392.089599609
-434.259033203,143.549362183,393.062896729
-434.00958252,143.568740845,394.031097412
-433.760284424,143.569412231,394.999511719
-433.510070801,143.553710938,395.967559814
-433.254699707,143.523223877,396.933929443
-433.003143311,143.47354126,397.900512695
-432.75289917,143.403289795,398.866149902
-432.504669189,143.320404053,399.831298828
-432.259033203,143.222747803,400.795715332
-432.01373291,143.109680176,401.758544922
-431.770080566,142.979370117,402.719604492
-431.526519775,142.835388184,403.678741455
-431.286468506,142.679519653,404.636901855
-431.050415039,142.511550903,405.594024658
-430.816619873,142.322219849,406.547698975
-430.581604004,142.104705811,407.495056152
-430.333343506,141.85534668,408.431091309
-430.077362061,141.57862854,409.357330322
-429.820739746,141.284454346,410.277984619
-429.570220947,140.978805542,411.196563721
-429.321075439,140.660095215,412.111083984
-429.069519043,140.32220459,413.018035889
-428.818359375,139.968521118,413.919036865
-428.566040039,139.596343994,414.812255859
-428.315734863,139.211593628,415.700683594
-428.067321777,138.809112549,416.581756592
-427.820007324,138.386627197,417.453735352
-427.572601318,137.947738647,418.3175354
-427.323760986,137.490341187,419.171264648
-427.071533203,137.011871338,420.012359619
-426.818511963,136.518280029,420.844421387
-426.569610596,136.015487671,421.672210693
-426.322784424,135.498580933,422.491912842
-426.074127197,134.963897705,423.299560547
-425.826385498,134.412399292,424.096099854
-425.580444336,133.841567993,424.879455566
-425.334899902,133.25239563,425.649261475
-425.092163086,132.648712158,426.408630371
-424.852142334,132.030700684,427.15725708
-424.612945557,131.398620605,427.894317627
-424.374420166,130.75289917,428.619689941
-424.133544922,130.095733643,429.333892822
-423.891540527,129.423477173,430.033538818
-423.647918701,128.735458374,430.717132568
-423.407073975,128.031829834,431.385650635
-423.164459229,127.316322327,432.040771484
-422.923492432,126.589492798,432.683929443
-422.682891846,125.851158142,433.313995361
-422.445281982,125.099128723,433.92880249
-422.210205078,124.334518433,434.528900146
-421.974853516,123.56010437,435.11618042
-421.738494873,122.775032043,435.688720703
-421.502227783,121.978492737,436.245239258
-421.267456055,121.171836853,436.787628174
-421.034851074,120.354400635,437.314575195
-420.801574707,119.526832581,437.825164795
-420.568145752,118.688919067,438.31854248
-420.332946777,117.841850281,438.795166016
-420.101348877,116.983627319,439.253204346
-419.87121582,116.116508484,439.694976807
-419.64630127,115.239547729,440.119659424
-419.424133301,114.353927612,440.52746582
-419.203338623,113.459991455,440.917510986
-418.983398438,112.559532166,441.292755127
-418.762939453,111.651008606,441.647705078
-418.541778564,110.736343384,441.986022949
-418.318878174,109.815818787,442.306884766
-418.097167969,108.888900757,442.609649658
-417.87677002,107.955932617,442.894226074
-417.65927124,107.016563416,443.159332275
-417.442993164,106.071578979,443.404754639
-417.22769165,105.122375488,443.634246826
-417.015319824,104.168426514,443.846099854
-416.80569458,103.20980072,444.038726807
-416.597290039,102.24659729,444.208435059
-416.38885498,101.280525208,444.360961914
-416.182647705,100.311164856,444.494445801
-415.979125977,99.339157104,444.611846924
-415.777557373,98.36479187,444.711791992
-415.575592041,97.388725281,444.792419434
-415.372344971,96.411529541,444.853912354
-415.170898438,95.432914734,444.895477295
-414.970214844,94.453468323,444.915740967
-414.771148682,93.473480225,444.915802002
-414.573547363,92.493339539,444.899108887
-414.377197266,91.513435364,444.863922119
-414.182800293,90.533843994,444.812805176
-413.991119385,89.554779053,444.744293213
-413.80065918,88.577316284,444.653259277
-413.611785889,87.601394653,444.544158936
-413.424713135,86.627487183,444.415710449
-413.23916626,85.65561676,444.270629883
-413.056091309,84.686317444,444.106506348
-412.877288818,83.719863892,443.922119141
-412.701141357,82.756591797,443.719421387
-412.52645874,81.796669006,443.500244141
-412.353027344,80.840698242,443.263519287
-412.18069458,79.889930725,443.005950928
-412.009429932,78.944763184,442.727874756
-411.842407227,78.007484436,442.421905518
-411.674621582,77.075523376,442.100524902
-411.506469727,76.148498535,441.765350342
-411.33895874,75.228279114,441.411590576
-411.174316406,74.31313324,441.043609619
-411.012390137,73.404792786,440.657989502
-410.854858398,72.502716064,440.256195068
-410.699157715,71.608100891,439.837371826
-410.545074463,70.721641541,439.400970459
-410.392150879,69.840446472,438.953643799
-410.239349365,68.969291687,438.487030029
-410.087554932,68.109046936,438.000274658
-409.936248779,67.257843018,437.497711182
-409.784637451,66.417533875,436.977233887
-409.637237549,65.586364746,436.441101074
